Data Set Name,HI - LO mean: V,HI - LO uncertainty: V,LOW mean: V,LOW uncertainty: V,HIGH mean: V,HIGH uncertainty: V
A0057CH1,0.020056071280752118,8.723262696962099e-08,0.04683411336453459,6.862643330548818e-08,0.0668901846452867,5.38511268200437e-08
A0058CH1,0.011116179559633177,9.390676663171353e-08,0.046033045246568385,7.164329101441209e-08,0.05714922480620156,6.071012824766032e-08
A0059CH1,0.005590549375606518,7.472116593856177e-08,0.045390045708481465,4.6978030351047235e-08,0.05098059508408798,5.8106086630869986e-08
A0060CH1,0.0,1.1015702304904015e-07,0.047568676507380545,7.78927779932991e-08,0.047568676507380545,7.78927779932991e-08
A0061CH1,0.002433244094488189,4.936357002777185e-08,0.043952755905511814,2.7199669676624716e-09,0.046386000000000004,4.9288577029384406e-08
A0062CH1,0.0,5.4150442757622314e-08,0.04588200000000001,3.829014527816871e-08,0.04588200000000001,3.829014527816871e-08
A0063CH1,0.08925911406081191,9.793261216959172e-08,0.04652153110047847,6.698074731596994e-08,0.13578064516129038,7.14449159517586e-08
A0064CH1,0.05689906228892504,9.080411223506953e-08,0.046416181914331056,6.48935999688065e-08,0.10331524420325609,6.351541137304881e-08
A0065CH1,0.03707514972516206,8.428766215555516e-08,0.04580230125523013,6.643358818311369e-08,0.08287745098039219,5.18747371344228e-08
A0066CH1,0.025491481664802924,9.204683713467001e-08,0.04620637408568443,6.511323975173957e-08,0.07169785575048736,6.506063506859542e-08
A0067CH1,0.01660350290014051,1.0377509416342248e-07,0.046306027820710985,6.641171289714871e-08,0.0629095307208515,7.974179931939017e-08
A0068CH1,0.010646701081403233,8.918242424992856e-08,0.04643537759756716,6.69573645393325e-08,0.057082078678970395,5.8908540374390396e-08
A0069CH1,0.005276801186787805,9.34517474085692e-08,0.047199817518248185,6.900449030845592e-08,0.05247661870503599,6.302070620823947e-08
A0070CH1,0.0032034350852106347,5.8901656359699837e-08,0.04599406009783369,5.0444660094433444e-08,0.049197495183044324,3.040956082999625e-08
A0071CH1,0.0,8.392580428645788e-08,0.046046500000000004,5.934450532748939e-08,0.046046500000000004,5.934450532748939e-08
A0072CH1,0.0012923466850828756,1.5392252836238794e-08,0.00999240331491713,1.982567941987821e-10,0.011284750000000005,1.5390975980042826e-08
A0073CH1,0.0,0.00035208572963415054,11.650788560712199,0.0002489622069833212,11.650788560712199,0.0002489622069833212
A0074CH1,0.0,0.00034159098986962405,11.646526463699827,0.00024154130532903642,11.646526463699827,0.00024154130532903642
